Date,Symbol,Close
10/29/2015,INTU,97.75
10/30/2015,INTU,97.43
11/2/2015,INTU,97.51
11/3/2015,INTU,97.71
11/4/2015,INTU,98.85
11/5/2015,INTU,97.78
11/6/2015,INTU,98.28
11/9/2015,INTU,97.51
11/10/2015,INTU,98.88
11/11/2015,INTU,99.39
11/12/2015,INTU,98.05
11/13/2015,INTU,96.53
11/16/2015,INTU,96.9
11/17/2015,INTU,96.43
11/18/2015,INTU,96.62
11/19/2015,INTU,97.42
11/20/2015,INTU,103.2
11/23/2015,INTU,101.03
11/24/2015,INTU,99.76
11/25/2015,INTU,99.85
11/27/2015,INTU,100.18
11/30/2015,INTU,100.2
12/1/2015,INTU,101.79
12/2/2015,INTU,99.5
12/3/2015,INTU,96.38
12/4/2015,INTU,98.63
12/7/2015,INTU,98.83
12/8/2015,INTU,98.32
12/9/2015,INTU,97.72
12/10/2015,INTU,96.99
12/11/2015,INTU,96.12
12/14/2015,INTU,96.3
12/15/2015,INTU,97.98
12/16/2015,INTU,99.05
12/17/2015,INTU,97.87
12/18/2015,INTU,95.57
12/21/2015,INTU,95.68
12/22/2015,INTU,97.21
12/23/2015,INTU,98
12/24/2015,INTU,97.59
12/28/2015,INTU,98.22
12/29/2015,INTU,99.34
12/30/2015,INTU,98.28
12/31/2015,INTU,96.5
1/4/2016,INTU,94.38
1/5/2016,INTU,95.95
1/6/2016,INTU,96.29
1/7/2016,INTU,94.44
1/8/2016,INTU,93.14
1/11/2016,INTU,94
1/12/2016,INTU,94.85
1/13/2016,INTU,91.7
1/14/2016,INTU,94.32
1/15/2016,INTU,91.49
1/19/2016,INTU,90.88
1/20/2016,INTU,91.99
1/21/2016,INTU,91.95
1/22/2016,INTU,93.61
1/25/2016,INTU,91.73
1/26/2016,INTU,92.64
1/27/2016,INTU,90.77
1/28/2016,INTU,92.03
1/29/2016,INTU,95.51
2/1/2016,INTU,96.37
2/2/2016,INTU,94.15
2/3/2016,INTU,95.89
2/4/2016,INTU,96.75
2/5/2016,INTU,91.79
2/8/2016,INTU,90.92
2/9/2016,INTU,90.13
2/10/2016,INTU,90.26
2/11/2016,INTU,91.41
2/12/2016,INTU,94.56
2/16/2016,INTU,95.36
2/17/2016,INTU,98.36
2/18/2016,INTU,96.47
2/19/2016,INTU,97.19
2/22/2016,INTU,98.25
2/23/2016,INTU,97.36
2/24/2016,INTU,98.83
2/25/2016,INTU,100.07
2/26/2016,INTU,95.75
2/29/2016,INTU,96.64
3/1/2016,INTU,98.86
3/2/2016,INTU,98.63
3/3/2016,INTU,97.71
3/4/2016,INTU,99.18
3/7/2016,INTU,99.38
3/8/2016,INTU,99.27
3/9/2016,INTU,99.47
3/10/2016,INTU,98.02
